药店名,总pc量,未推荐药品,推荐两种药品,推荐三种以上药品,处方量,首推处方量,首推药品盒数,首推药品金额,处方总金额,平均客单价
幸福人医药光明店,7,0,6,0,7,13,22,1272.30,1272.30,181.76
幸福人医药清华园店,10,0,6,2,10,18,19,733.80,767.40,76.74
幸福人医药新兴店,22,0,8,7,22,41,42,2370.00,2419.50,109.98
幸福人医药福盈店,36,2,17,11,34,74,91,4355.10,4380.30,121.68
幸福人医药振兴店,15,3,6,6,12,29,30,920.90,932.90,62.19
幸福人医药杏花村店,10,1,4,4,9,21,23,826.50,826.50,82.65
幸福人医药青檀店,9,1,6,2,8,18,23,1068.60,1068.60,118.73
幸福人医药福安店,31,1,25,5,30,63,73,3157.00,3181.00,102.61
幸福人医药安居店,0,0,0,0,0,0,0,0,0,0
幸福人医药福临店,22,1,8,11,21,49,61,3531.30,3549.30,161.33
幸福人医药阳光店,11,0,5,5,11,25,27,1605.90,1617.90,147.08
幸福人医药健康店,25,3,7,15,22,54,59,2709.40,2782.00,111.28
幸福人医药文化店,16,2,8,6,14,34,40,901.30,901.30,56.33
幸福人医药春蕾店,1,0,0,0,1,1,1,16.50,16.50,16.50
幸福人医药中心店,13,1,7,2,12,23,34,4671.40,4671.40,359.34
